designator,depth
CP04OSSM-MFD37-00-DCLENG000,450.0
CP04OSSM-MFD37-01-OPTAAD000,450.0
CP04OSSM-MFD37-03-CTDBPE000,450.0
CP04OSSM-MFD37-04-DOSTAD000,450.0
CP04OSSM-MFD37-07-ZPLSCC000,450.0
CP04OSSM-RIC21-00-CPMENG000,7.0
CP04OSSM-RID26-00-DCLENG000,7.0
CP04OSSM-RID26-04-VELPTA000,7.0
CP04OSSM-RID26-06-PHSEND000,7.0
CP04OSSM-RID26-07-NUTNRB000,7.0
CP04OSSM-RID26-08-SPKIRB000,7.0
CP04OSSM-RID27-00-DCLENG000,7.0
CP04OSSM-RID27-01-OPTAAD000,7.0
CP04OSSM-RID27-02-FLORTD000,7.0
CP04OSSM-RID27-03-CTDBPC000,7.0
CP04OSSM-RID27-04-DOSTAD000,7.0
CP04OSSM-SBC11-00-CPMENG000,0.0
CP04OSSM-SBD11-00-DCLENG000,0.0
CP04OSSM-SBD11-01-MOPAK0000,0.0
CP04OSSM-SBD11-02-HYDGN0000,0.0
CP04OSSM-SBD11-06-METBKA000,-3.0
CP04OSSM-SBD12-00-DCLENG000,0.0
CP04OSSM-SBD12-03-HYDGN0000,0.0
CP04OSSM-SBD12-04-PCO2AA000,0.0
GA01SUMO-RID16-00-DCLENG000,12.0
GA01SUMO-RID16-01-OPTAAD000,12.0
GA01SUMO-RID16-02-FLORTD000,12.0
GA01SUMO-RID16-03-CTDBPF000,12.0
GA01SUMO-RID16-04-VELPTA000,12.0
GA01SUMO-RID16-05-PCO2WB000,12.0
GA01SUMO-RID16-06-DOSTAD000,12.0
GA01SUMO-RID16-07-NUTNRB000,12.0
GA01SUMO-RID16-08-SPKIRB000,12.0
GA01SUMO-RII11-02-ADCPSN010,500.0
GA01SUMO-RII11-02-CTDBPP031,40.0
GA01SUMO-RII11-02-CTDBPP032,80.0
GA01SUMO-RII11-02-CTDBPP033,130.0
GA01SUMO-RII11-02-CTDMOQ011,20.0
GA01SUMO-RII11-02-CTDMOQ012,60.0
GA01SUMO-RII11-02-CTDMOQ013,100.0
GA01SUMO-RII11-02-CTDMOQ014,180.0
GA01SUMO-RII11-02-CTDMOQ015,250.0
GA01SUMO-RII11-02-CTDMOQ016,350.0
GA01SUMO-RII11-02-CTDMOQ017,500.0
GA01SUMO-RII11-02-CTDMOQ031,40.0
GA01SUMO-RII11-02-CTDMOQ033,130.0
GA01SUMO-RII11-02-CTDMOR018,750.0
GA01SUMO-RII11-02-CTDMOR019,1000.0
GA01SUMO-RII11-02-CTDMOR020,1500.0
GA01SUMO-RII11-02-DOSTAD031,40.0
GA01SUMO-RII11-02-DOSTAD032,80.0
GA01SUMO-RII11-02-DOSTAD033,130.0
GA01SUMO-RII11-02-FLORDG031,40.0
GA01SUMO-RII11-02-FLORDG032,80.0
GA01SUMO-RII11-02-FLORDG033,130.0
GA01SUMO-RII11-02-PCO2WC051,40.0
GA01SUMO-RII11-02-PCO2WC052,80.0
GA01SUMO-RII11-02-PCO2WC053,130.0
GA01SUMO-RII11-02-PHSENE041,20.0
GA01SUMO-RII11-02-PHSENE042,100.0
GA01SUMO-SBC11-00-CPMENG000,0.0
GA01SUMO-SBD11-00-DCLENG000,0.0
GA01SUMO-SBD11-01-MOPAK0000,0.0
GA01SUMO-SBD11-03-HYDGN0000,0.0
GA01SUMO-SBD11-04-DOSTAD000,1.0
GA01SUMO-SBD11-05-SPKIRB000,-5.0
GA01SUMO-SBD11-06-METBKA000,-5.0
GA01SUMO-SBD11-08-NUTNRB000,1.0
GA01SUMO-SBD12-00-DCLENG000,0.0
GA01SUMO-SBD12-01-OPTAAD000,1.0
GA01SUMO-SBD12-02-FLORTD000,1.0
GA01SUMO-SBD12-03-HYDGN0000,0.0
GA01SUMO-SBD12-04-PCO2AA000,0.0
GA01SUMO-SBD12-05-WAVSSA000,0.0
GA01SUMO-SBD12-06-METBKA000,-5.0
GA02HYPM-MPM01-02-ZPLSGA009,150.0
GA02HYPM-MPM01-02-ZPLSGA010,150.0
