scenario,id,confluence,name,parameterids,temporalparameter,streamdependency,streamtype,streamcontent,reviewstatus
FLOBN_A_SUBCON,DICT639,,flobn_m_position_x1_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3404,PD3405",PD7,,Science,Position X1 Data Products,
FLOBN_A_SUBCON,DICT640,,flobn_m_position_x2_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3404,PD3405",PD7,,Science,Position X2 Data Products,
FLOBN_A_SUBCON,DICT641,,flobn_m_position_y1_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3404,PD3405",PD7,,Science,Position Y1 Data Products,
FLOBN_A_SUBCON,DICT642,,flobn_m_position_y2_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3404,PD3405",PD7,,Science,Position Y2 Data Products,
FLOBN_A_SUBCON,DICT643,,flobn_m_position_z1_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3404,PD3405,PD3372,PD3371,PD3369,PD3370,PD3368,PD3367",PD7,,Science,Position Z1 Data Products,
FLOBN_A_SUBCON,DICT644,,flobn_m_position_z2_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3404,PD3405,PD3372,PD3371,PD3369,PD3370,PD3368,PD3367",PD7,,Science,Position Z2 Data Products,
FLOBN_A_SUBCON,DICT645,,flobn_m_position_z3_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3404,PD3405,PD3372,PD3371,PD3369,PD3370,PD3368,PD3367",PD7,,Science,Position Z3 Data Products,
FLOBN_A_SUBCON,DICT646,,flobn_m_position_z4_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3404,PD3405,PD3372,PD3371,PD3369,PD3370,PD3368,PD3367",PD7,,Science,Position Z4 Data Products,
FLOBN_A_SUBCON,DICT647,,flobn_m_position_z5_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3404,PD3405,PD3372,PD3371,PD3369,PD3370,PD3368,PD3367",PD7,,Science,Position Z5 Data Products,
FLOBN_A_SUBCON,DICT648,,flobn_m_direction_x_flow_rate_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3404,PD3406",PD7,,Science,X Flow Rate Data Products,
FLOBN_A_SUBCON,DICT649,,flobn_m_direction_y_flow_rate_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3404,PD3406",PD7,,Science,Y Flow Rate Data Products,
FLOBN_A_SUBCON,DICT650,,flobn_m_direction_z_flow_rate_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3404,PD3406",PD7,,Science,Z Flow Rate Data Products,
FLOBN_A_SUBCON,DICT651,,flobn_m_ambient_temperature_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3404,PD3407",PD7,,Science,Ambient Temperature Data Products,
HYD_O_DCL,DICT652,,hyd_o_dcl_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD3398,PD3399",PD7,,Engineering,Engineering Data,
